sg_1;sg_2;sg_3;sg_4;sg_5;sg_6;sg_7;sg_8;sg_9;sg_10;f_1;f_2;f_3;f_4
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-480.88523175;-6.15e-05;467.73532437;-5.303e-05;-936.05411618;-0.00759772;-474.97574228;-0.00470266
0.0;0.0;0.0;0.0;0.0;0.0628;0.0628;0.0;0.0;0.0;-436.68277142;-0.00235113;533.21659795;-0.01849177;-744.12455339;-0.09009;-395.8323159;-0.14795558
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0942;0.2513;0.0;-414.33261381;-0.00348895;-5479.79730599;-130.43640512;-236.12548012;-2.63775732;-920.23298515;24.48602658
0.0;0.0;0.0;0.0;0.0;0.0;0.2199;0.1257;0.0;0.1885;-436.73381041;-0.0043806;-9201.94134447;-187.53127913;-514.84467987;0.26356084;1978.60191827;79.06299384
0.0;0.0;0.0;0.0942;0.0;0.0;0.0;0.0;0.0942;0.0;-478.75837866;-0.00212674;504.26733154;-0.00760772;-479.20529326;-0.15019665;-568.05573382;-0.19007087
0.0;0.0;0.0;0.2199;0.1885;0.0;0.0;0.0;0.0;0.0942;-446.07398378;-0.00482535;1573.77304727;-3.96809954;-482.91001558;0.14580239;-1675.03851271;26.16227775
0.0;0.0;0.1571;0.0;0.0;0.0942;0.0;0.0;0.1885;0.2513;-417.35871374;-0.00236773;257.96676081;-0.20749697;-527.72950899;-0.12122016;1243.69507451;33.99718803
0.2199;0.0;0.0;0.0;0.0;0.1571;0.1571;0.0;0.2199;0.0;-371.17117845;-0.00339134;439.4048619;-0.22610774;-892.52123765;2.96548602;812.12000684;7.045168
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;-443.12763889;-0.00241893;547.08335861;-0.01865645;-500.80796809;-0.12365497;-484.33932868;-0.02024294
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;-459.13309572;-0.00194297;476.48656982;-0.00421306;-615.32958747;-0.14819671;-9426.42216109;-1456.14443111
0.1885;0.0;0.0;0.0;0.0;0.0;0.1257;0.1257;0.1885;0.0942;-404.00057537;-0.00243351;297.10868114;-0.31805902;-276.56699292;3.08940675;814.32890512;6.80287368
0.0;0.1257;0.0;0.0;0.0;0.1885;0.1885;0.1571;0.0;0.1885;-382.31139998;-0.00192685;964.58959064;-0.61511629;-1564.13174417;47.33962931;364.29528437;4.34486849
0.0;0.0;0.1885;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;-426.98136648;-0.00347876;654.32375639;-0.13649118;-482.72329247;-0.23534929;-503.32115759;0.47932163
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0314;0.0;0.0;-480.89099743;-6.15e-05;467.80697532;-5.302e-05;-936.62258283;-0.00760324;-475.45850332;-0.00470175
0.1257;0.0;0.0;0.1257;0.0;0.0;0.0;0.0;0.0;0.0;-467.71142264;-0.00307521;527.72742642;-0.03647349;-481.68103918;-0.10844151;-487.61365966;5.48346874
0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.2199;0.0;-409.24640084;-0.00352738;525.25624498;-0.05431997;-602.79499197;-1.97370668;-468.25139716;5.16529906
0.0;0.0;0.0;0.2199;0.0;0.0;0.0;0.0;0.0;0.0;-457.61209692;-0.00300211;438.36890505;-0.00597278;-519.73937047;-0.13152615;-436.18555932;0.11438667
0.0;0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;-424.61225358;-0.00313685;464.95972419;-0.00807892;-566.01471199;-0.10315873;-520.78965209;0.00314329
0.0;0.0;0.0;0.0;0.0942;0.0;0.0;0.1257;0.1571;0.0628;-392.35629558;-0.00508759;628.73727146;-0.1503353;-462.32541078;0.0952174;2130.61581341;67.39270499
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2199;0.0;0.0;-445.25612919;-0.0027924;523.38929154;-0.03579813;-510.26008118;-0.14650073;-514.42459443;-0.24987991
0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;-475.34425511;-0.00156163;503.51588396;-0.01076028;-669.87772482;-0.10826554;-511.78886848;-0.17644168
0.0;0.0;0.0;0.0;0.0;0.0;0.0314;0.0628;0.0;0.0;-445.32449719;-0.00207769;518.53605276;-0.00971157;-681.84133807;-0.11719562;-421.92482054;0.11660564
0.0;0.0628;0.1257;0.0942;0.1885;0.0;0.0;0.0;0.0;0.1257;-477.04480623;-0.00455883;113.07721056;-0.84510833;-720.04846123;1.39282449;1987.67274402;34.72658657
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;-462.90026054;-0.00217658;415.83715579;0.00028494;-618.71337974;-0.15436606;-553.25007237;-0.459473
0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0942;0.0;-447.66272342;-0.00422831;505.22885891;-0.02976111;-140.76296636;-4.93776352;-533.82859062;1.02230971
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0628;0.0;0.0;-470.03287688;-0.00068258;467.28117937;-0.00201284;-765.98954244;-0.10473246;-425.96417954;-0.10480755
0.0;0.0942;0.1257;0.0;0.0;0.2199;0.0;0.0;0.0;0.0;-429.14967807;-0.00361136;475.90897885;-0.06368716;-439.11891778;-0.10878553;-1609.57114615;14.061244
0.0;0.0;0.0;0.0;0.0;0.0;0.2513;0.0;0.0;0.2199;-431.429015;-0.00487726;1818.62024038;-10.31722847;-455.14914229;0.06952438;-1170.83560926;-215.44845034
0.0;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.0;-478.94453129;-0.00140677;534.05197731;-0.01293789;-676.1529396;-0.10272961;-229.92584684;-1.62236285
0.0;0.0;0.0;0.1885;0.0942;0.0942;0.0;0.0942;0.1571;0.1257;-384.97134713;-0.00621937;820.80159754;-0.52207758;-1757.75822907;21.05088766;581.67535883;1.09949922
0.0;0.0;0.0;0.1257;0.0;0.0628;0.0;0.1571;0.0;0.0;-462.90563087;-0.00229841;542.77021068;-0.10308609;-482.70620089;-0.22899414;-604.771532;-2.24079528
0.1885;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;0.1571;0.0;-423.8254716;-0.00389019;1216.46834539;-3.32440039;-531.05731538;0.21917218;-2133.61917231;40.32124413
0.0;0.0;0.0;0.0;0.0;0.0;0.0628;0.0;0.0;0.0;-459.46655636;-0.00117335;495.93004905;-0.00322538;-542.21255047;-0.43457848;-347.17602055;-0.24989
0.1257;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;-451.31875126;-0.00235771;563.08542763;-0.03059745;-455.90538255;-0.12037671;-288.45134662;6.12889983
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;-484.43399095;-0.00114858;505.49265678;-0.00462531;-647.25234374;-0.12904124;-132.60227449;-2.9787917
0.0;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.0;-445.49009463;-0.00200661;448.50730603;-0.00247054;-662.31351481;-0.13579073;-535.84826857;-0.09525514
0.0;0.0;0.0942;0.0;0.0;0.1257;0.0;0.0;0.0;0.0;-461.27666617;-0.00262412;414.1680775;0.00274991;-549.01228481;-0.13782701;-483.5048561;0.15734
0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.1257;0.0;-446.42942044;-0.00327409;449.16757741;-0.00973407;-475.49979699;-0.62530058;-847.87554065;13.08925543
0.1571;0.0;0.1885;0.1885;0.1885;0.0;0.0;0.1257;0.0;0.1885;-443.22214904;-0.00072763;750.66709339;-0.54755754;-164.14236091;4.01600663;1238.62968503;1402.13445984
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;-472.02068343;-0.00157913;452.112424;-0.00259743;-614.21062787;-0.12474953;-577.43100999;2.10567449
0.0;0.0;0.0;0.0;0.1571;0.0;0.1571;0.0;0.0;0.1885;-424.15598532;-0.00524051;35186.52586731;-5581.48638503;-500.71836246;0.10566728;2530.83095784;106.3593408
0.0;0.0;0.2513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-451.54749825;-0.00362161;502.32999187;-0.00940672;-574.62925621;-0.02366028;-278.61864359;2.66900402
0.0;0.0;0.0;0.1571;0.0;0.0;0.2199;0.0;0.0;0.0942;-411.15743631;-0.00470405;1552.66105596;-7.84910391;-463.45617317;0.11781492;-1121.58021315;7.22495399
0.1257;0.0;0.0;0.0;0.0;0.1571;0.0;0.0628;0.0;0.0;-420.63716496;-0.00345032;542.00487995;-0.07182974;-770.65136561;-16.55050146;-470.68223797;1.51315629
0.0;0.0;0.0;0.0;0.0942;0.0;0.0942;0.0942;0.0;0.1257;-398.52833692;-0.00385782;10.88697006;-0.89811334;-455.82440668;-0.18633611;-649.82785474;0.45605346
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;-455.42430065;-0.00177178;401.85206026;0.00020314;-543.62870855;-0.14478822;-424.49027941;-0.05296023
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;-430.37170398;-0.00271495;547.8684751;-0.02199375;-404.07238287;-0.17261224;-654.24513233;0.01762944
0.0;0.0;0.0;0.2199;0.1571;0.0;0.1885;0.0;0.0;0.0;-477.91819743;-0.00288749;334.65645875;-0.21625921;-802.80486111;1.67417596;-1849.38456376;21.00531834
0.0;0.0;0.0628;0.2199;0.0;0.1257;0.0628;0.0;0.0;0.0;-419.50283671;-0.00511826;-40332.68432837;-4355.74212224;-444.58510741;0.06522901;-2126.81259719;22.3929054
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;-465.80968868;-0.00185137;444.87681622;0.00203417;-599.6678915;-0.14153288;-566.9851023;1.75006033
0.0;0.1885;0.0;0.0;0.2199;0.0;0.0;0.0;0.0;0.0;-479.45839434;-0.00337126;651.40377389;-0.09813667;-362.68363803;-0.01320447;-843.18504366;3.19102399
