sg_1;sg_2;sg_3;sg_4;sg_5;t_1;t_2;t_3;t_4;t_5;t_6;t_7;t_8;t_9;t_10;t_11;t_12
0.0;0.0;0.0;0.0;0.0;-39.52224331;-98.51286104;142.56329903;141.83624926;-145.96232576;10.93885621;40.21133002;57.48446226;72.32614177;-210.30072802;106.64317695;-89.67791982
0.0;0.0;0.1571;0.1885;0.0;0.14711923;-1.0582385;-37.96583604;68.06555752;-6.60770805;-47.28662028;95.44370738;78.88097573;-94.75425503;-32.74889179;-46.93185572;68.06029452
0.0628;0.1885;0.0;0.0;0.0;4.91947929;-5.56994261;-15.00885165;51.15795205;51.39830581;-23.3966911;39.81844202;55.88097622;-22.58846577;-117.15944031;13.20317056;22.3249168
0.0;0.0;0.1571;0.0;0.0628;5.35004978;-30.62973764;-20.39277033;138.99773451;-32.21102974;24.59852391;57.74520456;93.37619935;-53.77632444;-74.20331085;-4.70512527;-88.09529706
0.0;0.0;0.0;0.0628;0.1885;1.29969651;-11.02616167;-48.85083086;85.89140406;-29.48671081;55.96942355;-22.52391574;-37.18568662;7.68589359;-40.44023715;25.24714175;-0.21309873
0.0;0.0628;0.0;0.0;0.0;15.98655568;-80.6792765;89.46327357;119.10820525;-104.77294581;20.09022889;82.6884557;21.46558184;6.37920779;-164.48753184;39.63422422;-183.01802232
0.0;0.0;0.0;0.0;0.2513;-1.19710873;-10.68744833;5.19734083;100.82770225;-5.6082939;5.32099266;89.0481529;18.14997735;-163.58161134;-81.44012313;22.69920417;26.6809215
0.0;0.0314;0.1257;0.0;0.0;6.12035806;-32.68334712;52.06254768;137.34045268;-70.32623164;-7.4496595;114.7078685;58.94920815;-24.88727618;-178.49134615;58.47174741;-91.13337412
0.0;0.0;0.0;0.0;0.0;-39.52224331;-98.51286104;142.56329903;141.83624926;-145.96232576;10.93885621;40.21133002;57.48446226;72.32614177;-210.30072802;106.64317695;-89.67791982
0.0;0.2827;0.0;0.0314;0.0;4.06002817;-2.02049175;-23.28810415;109.18571607;11.42444634;-37.66006099;102.47449498;50.72342166;-52.10866415;55.14518409;-133.45466937;17.0216851
0.0;0.0;0.1885;0.0;0.0;9.70170014;-35.7733689;10.95572537;151.44849878;-52.09073447;30.75835086;72.15341745;9.68020479;-33.56216941;-184.67466276;57.91602534;13.56714141
0.2199;0.0;0.0;0.0942;0.0;1.67968952;5.73041043;-27.0640006;97.3202668;-3.58046965;-102.8009041;86.46602951;-49.63762121;-56.52405994;-67.96411194;-61.14068043;-40.03104113
0.1885;0.0;0.1885;0.0;0.0;0.62463941;4.48482793;-23.45488886;27.23058538;44.38517787;-126.0572;60.09565931;2.72971464;-54.90329521;34.78273122;-76.88397557;30.48477624
0.0;0.0;0.0;0.0;0.0;-39.52224331;-98.51286104;142.56329903;141.83624926;-145.96232576;10.93885621;40.21133002;57.48446226;72.32614177;-210.30072802;106.64317695;-89.67791982
0.0942;0.0;0.0;0.0;0.0;13.13447627;-67.27342047;87.59174549;130.34191421;-84.3071894;-14.89518183;183.59247911;-82.59920106;25.72300369;-137.66238728;125.80744449;-93.12488664
0.0;0.0;0.0;0.0;0.0;-39.52224331;-98.51286104;142.56329903;141.83624926;-145.96232576;10.93885621;40.21133002;57.48446226;72.32614177;-210.30072802;106.64317695;-89.67791982
0.0;0.0;0.1257;0.1257;0.1571;2.37105587;6.34627857;-31.2314744;59.67985266;16.71625079;-22.82210296;61.1791287;-19.4997749;-28.04137602;-26.07705879;12.71725752;-25.80721628
0.0;0.0;0.1257;0.0;0.2199;-0.52869626;3.66686127;-17.68543226;70.18570631;29.62523292;-8.14470535;66.84194245;62.2442179;-114.72220188;-77.58050455;-88.42425813;-78.62678129
0.0;0.0;0.2199;0.0;0.0314;-0.01249241;-10.6373689;-19.11367954;118.4580865;-7.65406699;-32.71486023;74.88963696;1.00095798;-35.34921344;-165.96062165;80.50694847;-99.7826723
0.2513;0.0;0.2199;0.0314;0.0;-0.82343819;4.59183402;-46.94709749;58.49189367;63.94120859;-77.96108396;31.26613278;17.68712639;-162.96009042;41.27466916;-117.43270454;14.41712416
0.0;0.0;0.0942;0.2199;0.0628;-1.13210012;-0.18530008;-85.07180578;75.22312185;23.95371351;-72.44865769;79.542188;27.45535135;-107.82482818;-112.90690041;-13.13239251;-67.89023061
0.0;0.0;0.0;0.2199;0.0;1.98923988;-3.74743263;-76.95423333;146.16952533;-13.6748837;-42.4159313;75.93727705;19.34562773;-59.96550863;-170.92243404;84.81603102;-58.66488659
0.0;0.2199;0.2199;0.0942;0.0;0.25923187;3.53781857;-31.11818021;26.77927089;47.42167342;-43.01114138;41.31044492;-44.22946595;-51.24863028;81.78261002;-78.67197566;-21.2272255
0.2513;0.0;0.0;0.0;0.0;-6.23566086;-32.02980262;-118.54039543;200.37186666;-40.98752183;-155.68578942;137.98121256;51.61963106;-237.72244092;-95.43570572;-57.35584172;15.98906421
0.1571;0.0;0.0;0.0;0.0;-1.15233278;-35.5438164;31.07433973;196.21639616;-109.49085997;-14.41616686;72.44594792;127.73736812;-90.53690691;-182.41420898;-44.29583768;-18.63554095
0.0;0.0;0.0;0.0;0.1571;4.22979748;-31.8854795;-24.30645024;115.06367547;-63.13310672;-21.78342475;81.16553618;-113.11494485;20.97193174;-207.97443349;129.73524439;-196.04182024
